;data;Salário mínimo vigente;ano;mês;variação
350;1969.09;5,6727e-11;1969;09;0,0
351;1969.10;5,6727e-11;1969;10;0,0
352;1969.11;5,6727e-11;1969;11;0,0
353;1969.12;5,6727e-11;1969;12;0,0
354;1970.01;5,6727e-11;1970;01;0,0
355;1970.02;5,6727e-11;1970;02;0,0
356;1970.03;5,6727e-11;1970;03;0,0
357;1970.04;5,6727e-11;1970;04;0,0
358;1970.05;6,8073e-11;1970;05;0,20001057697392777
359;1970.06;6,8073e-11;1970;06;0,0
360;1970.07;6,8073e-11;1970;07;0,0
361;1970.08;6,8073e-11;1970;08;0,0
362;1970.09;6,8073e-11;1970;09;0,0
363;1970.10;6,8073e-11;1970;10;0,0
364;1970.11;6,8073e-11;1970;11;0,0
365;1970.12;6,8073e-11;1970;12;0,0
366;1971.01;6,8073e-11;1971;01;0,0
367;1971.02;6,8073e-11;1971;02;0,0
368;1971.03;6,8073e-11;1971;03;0,0
369;1971.04;6,8073e-11;1971;04;0,0
370;1971.05;8,2036e-11;1971;05;0,20511803505060744
371;1971.06;8,2036e-11;1971;06;0,0
372;1971.07;8,2036e-11;1971;07;0,0
373;1971.08;8,2036e-11;1971;08;0,0
374;1971.09;8,2036e-11;1971;09;0,0
375;1971.10;8,2036e-11;1971;10;0,0
376;1971.11;8,2036e-11;1971;11;0,0
377;1971.12;8,2036e-11;1971;12;0,0
378;1972.01;8,2036e-11;1972;01;0,0
379;1972.02;8,2036e-11;1972;02;0,0
380;1972.03;8,2036e-11;1972;03;0,0
381;1972.04;8,2036e-11;1972;04;0,0
382;1972.05;9,7745e-11;1972;05;0,1914891023453118
383;1972.06;9,7745e-11;1972;06;0,0
384;1972.07;9,7745e-11;1972;07;0,0
385;1972.08;9,7745e-11;1972;08;0,0
386;1972.09;9,7745e-11;1972;09;0,0
387;1972.10;9,7745e-11;1972;10;0,0
388;1972.11;9,7745e-11;1972;11;0,0
389;1972.12;9,7745e-11;1972;12;0,0
390;1973.01;9,7745e-11;1973;01;0,0
391;1973.02;9,7745e-11;1973;02;0,0
392;1973.03;9,7745e-11;1973;03;0,0
393;1973.04;9,7745e-11;1973;04;0,0
394;1973.05;1,1345e-10;1973;05;0,1606731802138217
395;1973.06;1,1345e-10;1973;06;0,0
396;1973.07;1,1345e-10;1973;07;0,0
397;1973.08;1,1345e-10;1973;08;0,0
398;1973.09;1,1345e-10;1973;09;0,0
399;1973.10;1,1345e-10;1973;10;0,0
400;1973.11;1,1345e-10;1973;11;0,0
401;1973.12;1,1345e-10;1973;12;0,0
402;1974.01;1,1345e-10;1974;01;0,0
403;1974.02;1,1345e-10;1974;02;0,0
404;1974.03;1,1345e-10;1974;03;0,0
405;1974.04;1,1345e-10;1974;04;0,0
406;1974.05;1,3702e-10;1974;05;0,2077567210224769
407;1974.06;1,3702e-10;1974;06;0,0
408;1974.07;1,3702e-10;1974;07;0,0
409;1974.08;1,3702e-10;1974;08;0,0
410;1974.09;1,3702e-10;1974;09;0,0
411;1974.10;1,3702e-10;1974;10;0,0
412;1974.11;1,3702e-10;1974;11;0,0
413;1974.12;1,5098e-10;1974;12;0,10188293679754779
414;1975.01;1,5098e-10;1975;01;0,0
415;1975.02;1,5098e-10;1975;02;0,0
416;1975.03;1,5098e-10;1975;03;0,0
417;1975.04;1,5098e-10;1975;04;0,0
418;1975.05;1,9375e-10;1975;05;0,2832825539806596
419;1975.06;1,9375e-10;1975;06;0,0
420;1975.07;1,9375e-10;1975;07;0,0
421;1975.08;1,9375e-10;1975;08;0,0
422;1975.09;1,9375e-10;1975;09;0,0
423;1975.10;1,9375e-10;1975;10;0,0
424;1975.11;1,9375e-10;1975;11;0,0
425;1975.12;1,9375e-10;1975;12;0,0
426;1976.01;1,9375e-10;1976;01;0,0
427;1976.02;1,9375e-10;1976;02;0,0
428;1976.03;1,9375e-10;1976;03;0,0
429;1976.04;1,9375e-10;1976;04;0,0
430;1976.05;2,7927e-10;1976;05;0,44139354838709677
431;1976.06;2,7927e-10;1976;06;0,0
432;1976.07;2,7927e-10;1976;07;0,0
433;1976.08;2,7927e-10;1976;08;0,0
434;1976.09;2,7927e-10;1976;09;0,0
435;1976.10;2,7927e-10;1976;10;0,0
436;1976.11;2,7927e-10;1976;11;0,0
437;1976.12;2,7927e-10;1976;12;0,0
438;1977.01;2,7927e-10;1977;01;0,0
439;1977.02;2,7927e-10;1977;02;0,0
440;1977.03;2,7927e-10;1977;03;0,0
441;1977.04;2,7927e-10;1977;04;0,0
442;1977.05;4,0233e-10;1977;05;0,440648834461274
443;1977.06;4,0233e-10;1977;06;0,0
444;1977.07;4,0233e-10;1977;07;0,0
445;1977.08;4,0233e-10;1977;08;0,0
446;1977.09;4,0233e-10;1977;09;0,0
447;1977.10;4,0233e-10;1977;10;0,0
448;1977.11;4,0233e-10;1977;11;0,0
449;1977.12;4,0233e-10;1977;12;0,0
450;1978.01;4,0233e-10;1978;01;0,0
451;1978.02;4,0233e-10;1978;02;0,0
452;1978.03;4,0233e-10;1978;03;0,0
453;1978.04;4,0233e-10;1978;04;0,0
454;1978.05;5,6727e-10;1978;05;0,40996197151591995
455;1978.06;5,6727e-10;1978;06;0,0
456;1978.07;5,6727e-10;1978;07;0,0
457;1978.08;5,6727e-10;1978;08;0,0
458;1978.09;5,6727e-10;1978;09;0,0
459;1978.10;5,6727e-10;1978;10;0,0
460;1978.11;5,6727e-10;1978;11;0,0
461;1978.12;5,6727e-10;1978;12;0,0
462;1979.01;5,6727e-10;1979;01;0,0
463;1979.02;5,6727e-10;1979;02;0,0
464;1979.03;5,6727e-10;1979;03;0,0
465;1979.04;5,6727e-10;1979;04;0,0
466;1979.05;8,2473e-10;1979;05;0,45385795124015016
467;1979.06;8,2473e-10;1979;06;0,0
468;1979.07;8,2473e-10;1979;07;0,0
469;1979.08;8,2473e-10;1979;08;0,0
470;1979.09;8,2473e-10;1979;09;0,0
471;1979.10;8,2473e-10;1979;10;0,0
472;1979.11;1,0665e-09;1979;11;0,29315048561347345
473;1979.12;1,0665e-09;1979;12;0,0
474;1980.01;1,0665e-09;1980;01;0,0
475;1980.02;1,0665e-09;1980;02;0,0
476;1980.03;1,0665e-09;1980;03;0,0
477;1980.04;1,0665e-09;1980;04;0,0
478;1980.05;1,5089e-09;1980;05;0,41481481481481497
479;1980.06;1,5089e-09;1980;06;0,0
480;1980.07;1,5089e-09;1980;07;0,0
481;1980.08;1,5089e-09;1980;08;0,0
482;1980.09;1,5089e-09;1980;09;0,0
483;1980.10;1,5089e-09;1980;10;0,0
484;1980.11;2,105e-09;1980;11;0,3950560010603752
485;1980.12;2,105e-09;1980;12;0,0
486;1981.01;2,105e-09;1981;01;0,0
487;1981.02;2,105e-09;1981;02;0,0
488;1981.03;2,105e-09;1981;03;0,0
489;1981.04;2,105e-09;1981;04;0,0
490;1981.05;3,0781e-09;1981;05;0,46228028503562935
491;1981.06;3,0781e-09;1981;06;0,0
492;1981.07;3,0781e-09;1981;07;0,0
493;1981.08;3,0781e-09;1981;08;0,0
494;1981.09;3,0781e-09;1981;09;0,0
495;1981.10;3,0781e-09;1981;10;0,0
496;1981.11;4,3375e-09;1981;11;0,40914850069848274
497;1981.12;4,3375e-09;1981;12;0,0
498;1982.01;4,3375e-09;1982;01;0,0
499;1982.02;4,3375e-09;1982;02;0,0
500;1982.03;4,3375e-09;1982;03;0,0
501;1982.04;4,3375e-09;1982;04;0,0
502;1982.05;6,0393e-09;1982;05;0,3923458213256483
503;1982.06;6,0393e-09;1982;06;0,0
504;1982.07;6,0393e-09;1982;07;0,0
505;1982.08;6,0393e-09;1982;08;0,0
506;1982.09;6,0393e-09;1982;09;0,0
507;1982.10;6,0393e-09;1982;10;0,0
508;1982.11;8,5702e-09;1982;11;0,41907174672561376
509;1982.12;8,5702e-09;1982;12;0,0
510;1983.01;8,5702e-09;1983;01;0,0
511;1983.02;8,5702e-09;1983;02;0,0
512;1983.03;8,5702e-09;1983;03;0,0
513;1983.04;8,5702e-09;1983;04;0,0
514;1983.05;1,2646e-08;1983;05;0,47557816620382254
515;1983.06;1,2646e-08;1983;06;0,0
516;1983.07;1,2646e-08;1983;07;0,0
517;1983.08;1,2646e-08;1983;08;0,0
518;1983.09;1,2646e-08;1983;09;0,0
519;1983.10;1,2646e-08;1983;10;0,0
520;1983.11;2,0771e-08;1983;11;0,6424956507986717
521;1983.12;2,0771e-08;1983;12;0,0
522;1984.01;2,0771e-08;1984;01;0,0
523;1984.02;2,0771e-08;1984;02;0,0
524;1984.03;2,0771e-08;1984;03;0,0
525;1984.04;2,0771e-08;1984;04;0,0
526;1984.05;3,5337e-08;1984;05;0,7012661884357998
527;1984.06;3,5337e-08;1984;06;0,0
528;1984.07;3,5337e-08;1984;07;0,0
529;1984.08;3,5337e-08;1984;08;0,0
530;1984.09;3,5337e-08;1984;09;0,0
531;1984.10;3,5337e-08;1984;10;0,0
532;1984.11;6,0567e-08;1984;11;0,7139825112488327
533;1984.12;6,0567e-08;1984;12;0,0
534;1985.01;6,0567e-08;1985;01;0,0
535;1985.02;6,0567e-08;1985;02;0,0
536;1985.03;6,0567e-08;1985;03;0,0
537;1985.04;6,0567e-08;1985;04;0,0
538;1985.05;1,2113e-07;1985;05;0,9999339574355672
539;1985.06;1,2113e-07;1985;06;0,0
540;1985.07;1,2113e-07;1985;07;0,0
541;1985.08;1,2113e-07;1985;08;0,0
542;1985.09;1,2113e-07;1985;09;0,0
543;1985.10;1,2113e-07;1985;10;0,0
544;1985.11;2,1818e-07;1985;11;0,8012053166019979
545;1985.12;2,1818e-07;1985;12;0,0
546;1986.01;2,1818e-07;1986;01;0,0
547;1986.02;2,1818e-07;1986;02;0,0
548;1986.03;2,9236e-07;1986;03;0,3399944999541662
549;1986.04;2,9236e-07;1986;04;0,0
550;1986.05;2,9236e-07;1986;05;0,0
551;1986.06;2,9236e-07;1986;06;0,0
552;1986.07;2,9236e-07;1986;07;0,0
553;1986.08;2,9236e-07;1986;08;0,0
554;1986.09;2,9236e-07;1986;09;0,0
555;1986.10;2,9236e-07;1986;10;0,0
556;1986.11;2,9236e-07;1986;11;0,0
557;1986.12;2,9236e-07;1986;12;0,0
558;1987.01;3,5084e-07;1987;01;0,20002736352442185
559;1987.02;3,5084e-07;1987;02;0,0
560;1987.03;4,9745e-07;1987;03;0,4178827955763311
561;1987.04;4,9745e-07;1987;04;0,0
562;1987.05;5,9695e-07;1987;05;0,2000201025228665
563;1987.06;7,1633e-07;1987;06;0,19998324817823954
564;1987.07;7,1633e-07;1987;07;0,0
565;1987.08;7,1636e-07;1987;08;4,188013904204979e-05
566;1987.09;8,7273e-07;1987;09;0,2182841029649898
567;1987.10;9,6e-07;1987;10;0,09999656251074196
568;1987.11;1,0909e-06;1987;11;0,13635416666666678
