;data;IBOVESPA fechamento mensal;ano;mês;variação
475;2007.09;10,66;2007;09;11,843373493975905
476;2007.10;8,02;2007;10;-0,2476547842401502
477;2007.11;-3,53;2007;11;-1,440149625935162
478;2007.12;1,4;2007;12;-1,3966005665722379
479;2008.01;-6,88;2008;01;-5,914285714285715
480;2008.02;6,72;2008;02;-1,9767441860465116
481;2008.03;-3,97;2008;03;-1,5907738095238095
482;2008.04;11,31;2008;04;-3,8488664987405543
483;2008.05;6,96;2008;05;-0,3846153846153847
484;2008.06;-10,44;2008;06;-2,5
485;2008.07;-8,47;2008;07;-0,18869731800766276
486;2008.08;-6,42;2008;08;-0,24203069657615117
487;2008.09;-11,02;2008;09;0,7165109034267911
488;2008.10;-24,79;2008;10;1,2495462794918328
489;2008.11;-1,77;2008;11;-0,9286002420330779
490;2008.12;2,6;2008;12;-2,4689265536723166
491;2009.01;4,66;2009;01;0,7923076923076924
492;2009.02;-2,84;2009;02;-1,6094420600858368
493;2009.03;7,18;2009;03;-3,528169014084507
494;2009.04;15,54;2009;04;1,1643454038997216
495;2009.05;12,49;2009;05;-0,19626769626769625
496;2009.06;-3,26;2009;06;-1,2610088070456364
497;2009.07;6,41;2009;07;-2,9662576687116564
498;2009.08;3,15;2009;08;-0,5085803432137286
499;2009.09;8,9;2009;09;1,8253968253968256
500;2009.10;0,05;2009;10;-0,9943820224719101
501;2009.11;8,93;2009;11;177,6
502;2009.12;2,3;2009;12;-0,7424412094064949
503;2010.01;-4,65;2010;01;-3,0217391304347827
504;2010.02;1,68;2010;02;-1,3612903225806452
505;2010.03;5,82;2010;03;2,4642857142857144
506;2010.04;-4,04;2010;04;-1,6941580756013745
507;2010.05;-6,64;2010;05;0,6435643564356435
508;2010.06;-3,34;2010;06;-0,4969879518072289
509;2010.07;10,8;2010;07;-4,233532934131737
510;2010.08;-3,51;2010;08;-1,325
511;2010.09;6,58;2010;09;-2,8746438746438745
512;2010.10;1,79;2010;10;-0,7279635258358663
513;2010.11;-4,2;2010;11;-3,346368715083799
514;2010.12;2,36;2010;12;-1,561904761904762
515;2011.01;-3,94;2011;01;-2,669491525423729
516;2011.02;1,22;2011;02;-1,3096446700507614
517;2011.03;1,79;2011;03;0,4672131147540983
518;2011.04;-3,58;2011;04;-3,0
519;2011.05;-2,29;2011;05;-0,36033519553072624
520;2011.06;-3,43;2011;06;0,49781659388646293
521;2011.07;-5,74;2011;07;0,6734693877551021
